city,Locality,rooms,bathroom,parking_spaces,floor,association_tax,rent_amount,property_tax,fire_insurance,total_rent,animal_allowed,furnishing,rooms_outlier,bathrooms_outlier,parking_outlier
Chennai,thirupporur,2,1,1,3,735,3000,75,39,3849,0,0,0,0,0
Delhi,westend,5,6,0,6,0,26100,2010,399,28509,1,0,0,0,0
Bangalore,mysore road,1,1,1,1,2100,4200,426,54,6780,1,0,0,0,0
Bangalore,electronic city phase ii,1,1,0,6,0,2100,177,33,2310,0,0,0,0,0
Delhi,rohini sector 16,2,2,0,4,4080,9540,816,123,14559,0,1,0,0,0
Bangalore,8th phase jp nagar,1,1,1,7,4500,9000,876,117,14493,1,1,0,0,0
Bangalore,horamavu agara,1,1,2,7,3900,11874,726,153,16653,0,1,0,0,0
Delhi,sector 22 dwarka,2,1,0,3,3000,7200,615,93,10908,1,1,0,0,0
Chennai,vandalur,1,1,1,5,1554,2700,135,36,4425,1,0,0,0,0
Bangalore,btm 1st stage,3,3,1,9,6750,21000,1260,267,29277,1,1,0,0,0
Bangalore,kanakapura,3,4,1,10,6900,30000,1752,381,39030,1,0,0,0,0
Delhi,palam,3,2,1,3,4020,15600,756,204,20580,1,1,0,0,0
Bangalore,9th phase jp nagar,1,1,0,8,852,4950,0,63,5865,0,0,0,0,0
Kolkata,brahmapur road,3,2,1,3,1089,7800,429,105,9423,1,0,0,0,0
Bangalore,garudachar palya,3,1,0,6,0,4680,375,72,5127,0,0,0,0,0
Delhi,badarpur,3,1,0,2,3900,10500,0,138,14538,1,0,0,0,0
Bangalore,uttarahalli,2,1,2,6,0,6000,54,93,6147,1,0,0,0,0
Mumbai,powai,1,1,1,3,1200,6600,0,99,7899,0,1,0,0,0
Delhi,sector 9 dwarka,2,2,2,3,13485,16500,1911,213,32100,1,1,0,0,0
Bangalore,electronic city phase ii,1,1,0,6,0,3000,63,39,3102,1,0,0,0,0
Bangalore,bisuvanahalli,8,4,0,6,1350,31500,1050,474,34380,1,0,1,0,0
Bangalore,vishwapriya layout,4,4,4,9,8250,24000,5250,306,37800,1,0,0,0,0
Chennai,pallikaranai,3,1,1,4,924,2442,147,33,3546,1,0,0,0,0
Bangalore,jakkur,4,4,2,6,0,10500,945,159,11604,1,0,0,0,0
Bangalore,channasandra,1,2,1,6,2430,9030,48,117,11625,1,0,0,0,0
Bangalore,budigere,2,1,1,15,1560,6840,27,87,8514,1,0,0,0,0
Kolkata,tollygunge,4,1,2,4,1035,7500,627,102,9264,1,0,0,0,0
Bangalore,kr puram,2,1,1,14,1260,4197,0,54,5511,1,0,0,0,0
Chennai,sholinganallur,1,1,1,6,0,3900,90,60,4050,1,0,0,0,0
Bangalore,gollarapalya hosahalli,4,2,2,2,4500,7500,0,96,12096,1,0,0,0,0
Mumbai,ghatkopar west,2,2,1,7,1350,4200,201,63,5814,1,0,0,0,0
Chennai,kelambakkam,2,1,1,2,1350,4650,249,60,6309,1,0,0,0,0
Delhi,sector 11 rohini,1,1,0,6,0,2100,0,30,2130,1,0,0,0,0
Bangalore,sahakara nagar,1,1,2,14,2610,23700,450,303,27063,1,1,0,0,0
Bangalore,kaggadasapura,1,1,1,4,3600,7050,453,90,11193,0,0,0,0,0
Bangalore,hebbal,4,2,6,6,0,15000,1374,228,16602,1,0,0,0,1
Bangalore,kothanur,2,2,2,5,2073,7200,309,93,9675,1,0,0,0,0
Bangalore,jigani,5,7,7,6,0,34500,16500,519,51510,1,0,0,1,1
Kolkata,sonarpur,5,5,4,6,0,13500,810,222,14532,1,0,0,0,0
Kolkata,sodepur,3,2,1,5,1461,3840,327,54,5682,1,0,0,0,0
Bangalore,cunningham road,4,6,4,11,12930,7707,7251,99,27987,1,0,0,0,0
Kolkata,paschim barisha,5,3,2,2,4329,8700,1224,117,14370,1,0,0,0,0
Bangalore,ramamurthy nagar,2,1,1,5,2244,6000,0,78,8322,0,0,0,0,0
Bangalore,yelahanka,1,1,0,6,90,2340,51,36,2517,0,0,0,0,0
Bangalore,uttarahalli,2,1,1,19,2220,3900,0,51,6171,1,0,0,0,0
Bangalore,yelahanka new town,1,1,0,7,2670,8100,534,105,11409,1,0,0,0,0
Bangalore,whitefield,1,1,1,6,3615,13500,753,174,18042,1,0,0,0,0
Bangalore,kereguddadahalli,2,2,1,4,2121,13188,459,168,15936,1,0,0,0,0
Mumbai,kalyan west,1,1,0,2,660,2700,66,42,3468,1,0,0,0,0
Bangalore,thanisandra,3,3,3,6,0,21000,2211,318,23529,1,0,0,0,0
Bangalore,sector 7 hsr layout,4,5,4,4,5700,24000,2145,306,32160,1,0,0,0,0
Bangalore,lavelle road,3,4,2,17,7200,28500,3576,363,39630,0,1,0,0,0
Bangalore,7th phase jp nagar,1,1,1,10,4800,5400,531,69,10800,0,1,0,0,0
Bangalore,bisuvanahalli,4,4,0,20,3600,14880,5250,189,23919,1,0,0,0,0
Bangalore,itpl,4,3,5,6,5700,42000,10602,633,58950,1,1,0,0,1
Delhi,kundli,2,2,1,3,3300,4500,1026,60,8886,1,0,0,0,0
Bangalore,hennur,1,1,2,8,6000,24000,651,306,30960,1,1,0,0,0
Bangalore,chikkalasandra,3,6,4,6,0,19500,0,294,19794,0,0,0,0,0
Bangalore,kasavanhalli,3,4,3,8,4092,6600,1209,84,11985,1,0,0,0,0
Delhi,uttam nagar,2,1,1,3,7500,24000,975,312,32790,1,1,0,0,0
Bangalore,sarjapur  road,2,1,2,6,0,4200,255,66,4521,0,0,0,0,0
Bangalore,hennur,2,1,1,2,1509,2955,0,39,4503,1,0,0,0,0
Bangalore,singasandra,1,1,0,12,870,4590,180,60,5700,1,0,0,0,0
Bangalore,hebbal,4,4,3,5,13023,24000,2664,306,39990,0,1,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,6,0,5400,303,84,5787,0,0,0,0,0
Bangalore,sector 2 hsr layout,1,1,1,4,1950,6600,354,84,8988,0,1,0,0,0
Delhi,kailash colony,1,1,1,11,1440,4260,1077,57,6834,1,0,0,0,0
Mumbai,kharghar,1,1,0,6,900,4170,102,63,5235,1,1,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,6,0,2340,120,36,2496,0,0,0,0,0
Kolkata,barrackpore,1,1,1,6,0,3300,0,45,3345,1,1,0,0,0
Bangalore,hebbal,4,5,0,14,10176,23640,4698,300,38820,1,0,0,0,0
Bangalore,yelahanka new town,1,1,1,6,2268,6750,342,87,9447,1,0,0,0,0
Bangalore,dodda nekkundi,3,3,4,9,6000,15000,1752,192,22944,1,0,0,0,0
Mumbai,goregaon west,3,1,1,11,3000,13335,498,195,17028,1,1,0,0,0
Bangalore,somasundara palya,1,1,0,16,990,4725,0,60,5775,0,0,0,0,0
Bangalore,begur road,4,2,3,6,0,15600,2115,237,17952,1,1,0,0,0
Bangalore,kasturi nagar,3,3,3,8,5040,6375,1125,81,12621,1,0,0,0,0
Bangalore,jalahalli,2,2,1,4,2070,7500,15,96,9681,1,0,0,0,0
Bangalore,thanisandra,2,4,3,16,12063,37500,4005,477,54060,1,0,0,0,0
Kolkata,east park,4,2,4,1,2925,9000,1143,120,13188,0,0,0,0,0
Mumbai,mira road east,2,1,0,13,1464,4200,123,63,5850,1,1,0,0,0
Mumbai,kharghar,3,1,0,3,795,4650,93,69,5607,1,0,0,0,0
Delhi,dwarka mor,2,1,1,3,2850,11400,375,147,14772,1,0,0,0,0
Bangalore,gottigere,2,1,1,3,1875,3300,9,42,5226,1,0,0,0,0
Bangalore,jalahalli,3,1,1,5,1512,4500,159,60,6231,1,0,0,0,0
Bangalore,basaveshwara nagar,1,1,3,2,3300,32100,1050,408,36870,0,1,0,0,0
Bangalore,7th phase jp nagar,1,1,1,2,3000,5280,501,69,8850,1,1,0,0,0
Kolkata,tollygunge,3,2,5,6,0,12000,612,198,12810,0,0,0,0,1
Delhi,neb sarai,1,1,0,12,1050,5100,201,66,6417,1,1,0,0,0
Bangalore,hennur road,2,2,2,1,3600,5751,825,75,10251,1,0,0,0,0
Bangalore,rayasandra,3,3,1,8,6450,21000,1476,267,29193,1,0,0,0,0
Bangalore,marathahalli,4,5,4,19,9450,11400,4890,147,25887,1,0,0,0,0
Delhi,matiala,2,1,1,2,2046,3300,180,45,5571,1,0,0,0,0
Bangalore,murugeshpalya,4,6,5,14,12000,23220,4752,297,40260,0,1,0,0,1
Bangalore,bannerghatta road,2,3,2,19,0,29760,0,378,30150,1,1,0,0,0
Mumbai,santacruz east,2,1,0,2,840,4140,96,63,5139,1,0,0,0,0
Chennai,medavakkam,2,2,1,6,0,4500,123,69,4692,1,0,0,0,0
Bangalore,kr puram,2,1,1,1,900,6600,252,84,7836,1,1,0,0,0
Bangalore,kanakpura road,1,1,2,2,10194,5700,864,75,16833,0,0,0,0,0
Delhi,sector 5 dwarka,2,2,1,7,2100,6900,18,90,9108,1,0,0,0,0
Mumbai,prabhadevi,1,2,1,9,1200,8400,201,123,9924,1,0,0,0,0
Bangalore,bommasandra,2,2,1,6,0,8925,570,135,9630,1,0,0,0,0
Bangalore,8th phase jp nagar,2,1,1,7,1848,3600,195,48,5691,1,0,0,0,0
Bangalore,sarjapur,1,1,0,5,1806,5400,390,69,7665,1,1,0,0,0
Delhi,sarvodaya enclave,2,2,1,10,4350,9600,600,126,14676,1,0,0,0,0
Bangalore,yelahanka,2,1,0,11,1578,7500,387,96,9561,1,0,0,0,0
Bangalore,thanisandra,3,2,1,9,6300,25500,1251,324,33390,1,0,0,0,0
Bangalore,yelahanka,1,1,1,16,1860,10500,276,135,12771,1,1,0,0,0
Delhi,vasant kunj,3,2,1,9,2100,6150,180,81,8511,1,0,0,0,0
Chennai,maraimalai nagar,2,1,0,2,900,2100,300,27,3327,1,0,0,0,0
Delhi,uttam nagar,2,1,0,3,2613,1800,282,24,4719,1,0,0,0,0
Bangalore,ananth nagar,1,1,2,29,3900,26100,1251,333,31590,0,0,0,0,0
Bangalore,brookefield,3,2,0,6,3480,3720,285,48,7533,1,0,0,0,0
Delhi,niti bagh,3,4,1,11,6600,17400,876,225,25101,0,0,0,0,0
Delhi,hauz khas,3,1,0,3,7350,12300,1422,159,21231,0,0,0,0,0
Bangalore,electronic city phase ii,1,1,0,6,1350,5100,0,66,6516,1,1,0,0,0
Bangalore,bannerghatta road,2,1,4,6,0,6000,621,93,6714,1,0,0,0,0
Chennai,new perungalathur,6,3,4,6,0,6000,435,93,6528,1,0,0,0,0
Bangalore,thanisandra,5,3,2,1,4440,27000,777,345,32550,1,0,0,0,0
Kolkata,howrah,3,1,1,2,660,2550,177,36,3423,1,0,0,0,0
Bangalore,rajaji nagar,3,2,1,1,3600,13500,300,174,17574,1,0,0,0,0
Kolkata,tollygunge,4,4,2,5,2700,12300,1500,165,16665,1,1,0,0,0
Kolkata,garia,2,2,1,6,0,5115,183,42,5340,0,0,0,0,0
Kolkata,noapara,1,1,0,20,480,2550,180,36,3246,0,0,0,0,0
Bangalore,chikkabanavar,2,1,1,1,1845,5250,270,69,7434,1,0,0,0,0
Bangalore,8th phase jp nagar,1,1,1,11,2190,6300,114,81,8685,1,0,0,0,0
Bangalore,vishwapriya layout,4,5,4,6,600000,60000,5502,762,666300,1,1,0,0,0
Kolkata,garia,2,3,2,5,2940,8400,1050,114,12504,1,0,0,0,0
Bangalore,panathur,2,2,1,6,3600,15900,201,204,19905,1,1,0,0,0
Bangalore,singasandra,1,1,0,6,750,3300,0,42,4092,1,0,0,0,0
Bangalore,rajaji nagar,2,2,0,6,4029,11922,213,153,16317,1,0,0,0,0
Kolkata,narendrapur,4,3,2,1,0,9750,0,132,9882,1,0,0,0,0
Mumbai,virar,2,1,0,2,222,3120,126,48,3516,1,0,0,0,0
Bangalore,jigani,4,5,8,6,0,45000,5550,678,51240,1,0,0,0,1
Kolkata,sonarpur,6,4,6,6,0,16500,627,273,17400,1,0,0,0,1
Delhi,dwarka mor,2,1,1,5,1800,9000,501,117,11418,0,0,0,0,0
Mumbai,thane west,1,1,0,5,1200,2850,300,42,4392,1,0,0,0,0
Kolkata,south dum dum,2,1,1,1,1500,2250,240,30,4020,1,0,0,0,0
Bangalore,hbr layout,3,3,1,13,4500,13860,900,177,19437,1,0,0,0,0
Kolkata,south dum dum,2,2,2,7,912,4200,300,57,5469,1,0,0,0,0
Bangalore,uttarahalli,2,1,1,6,1200,4500,0,60,5760,1,0,0,0,0
Kolkata,kamardanga,3,5,8,6,2400,30000,606,492,33510,1,0,0,0,1
Bangalore,kalyan nagar,1,1,0,3,1350,6060,0,78,7488,1,1,0,0,0
Mumbai,khar,3,3,0,5,3885,3375,627,51,7938,1,0,0,0,0
Bangalore,hennur road,2,2,1,3,3000,9000,150,117,12267,1,0,0,0,0
Bangalore,balagere,3,4,2,3,12561,45000,4350,573,62490,1,0,0,0,0
Delhi,uttam nagar,2,2,1,2,2997,9000,354,117,12468,1,1,0,0,0
Mumbai,dahisar,2,2,1,2,1200,5400,246,81,6927,1,0,0,0,0
Bangalore,koramangala,1,1,0,9,1131,10350,0,132,11613,0,1,0,0,0
Delhi,vikaspuri,1,1,0,2,1452,4500,78,60,6090,1,0,0,0,0
Bangalore,7th phase jp nagar,2,1,1,1,528,3900,192,51,4671,1,0,0,0,0
Bangalore,hormavu,3,2,2,6,0,9000,150,138,9288,0,0,0,0,0
Bangalore,ramakrishnappa layout,5,3,5,6,0,39000,6750,588,46350,1,0,0,0,1
Chennai,medavakkam,3,1,0,6,1500,3000,90,39,4629,1,0,0,0,0
Bangalore,horamavu agara,2,1,0,3,750,5400,123,69,6342,1,0,0,0,0
Bangalore,marathahalli,3,4,3,7,9000,6000,3750,78,18828,1,1,0,0,0
Kolkata,chinar park,2,1,1,3,600,3000,75,42,3717,1,0,0,0,0
Bangalore,jalahalli west,4,2,8,6,0,45000,7002,678,52680,1,0,0,0,1
Kolkata,tollygunge,4,3,2,4,3492,12000,1134,162,16788,1,0,0,0,0
Kolkata,salt lake city,5,4,4,6,0,27000,1800,444,29244,1,0,0,0,0
Bangalore,tc palaya,1,1,0,1,1014,3000,189,39,4242,0,0,0,0,0
Chennai,medavakkam,3,1,4,6,0,16500,0,249,16749,1,0,0,0,0
Bangalore,binny pete,3,3,2,1,6189,32700,2118,417,41430,1,1,0,0,0
Kolkata,joka,4,3,3,8,6177,15000,1605,201,22983,1,0,0,0,0
Delhi,sector 8 rohini,1,1,0,5,960,4620,0,60,5640,0,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,6,0,1500,0,24,1524,0,0,0,0,0
Bangalore,malleshwaram,2,2,0,10,2460,4500,210,60,7230,1,0,0,0,0
Chennai,moolacheri,3,2,2,12,2100,6750,525,87,9462,1,0,0,0,0
Mumbai,worli,3,2,1,4,1590,3900,144,57,5691,1,0,0,0,0
Mumbai,wadala,1,1,0,6,1290,6660,252,99,8301,1,1,0,0,0
Bangalore,marathahalli,3,4,1,6,0,13500,1626,204,15330,1,0,0,0,0
Kolkata,ganguly bagan,2,1,1,2,510,4200,36,57,4803,1,0,0,0,0
Kolkata,lake town,4,1,3,6,0,6450,0,108,6558,0,0,0,0,0
Bangalore,thanisandra,2,2,6,6,0,13500,876,204,14580,1,0,0,0,1
Bangalore,devanahalli,3,2,1,4,1596,6819,0,87,8502,0,0,0,0,0
Bangalore,gunjur,3,2,1,7,5361,32550,1596,414,39930,1,0,0,0,0
Delhi,chattarpur,2,1,1,8,1680,3000,1500,39,6219,0,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,15,918,6000,0,78,6996,1,0,0,0,0
Bangalore,ramamurthy nagar,3,2,0,12,2400,6708,192,87,9387,0,1,0,0,0
Kolkata,tangra,2,1,1,2,750,3600,201,48,4599,0,0,0,0,0
Bangalore,7th phase jp nagar,1,1,0,2,450,2250,0,30,2730,0,0,0,0,0
Delhi,burari,1,1,0,5,1461,7500,165,99,9225,1,0,0,0,0
Bangalore,kumaraswami layout,3,1,2,5,2835,12900,900,165,16800,1,0,0,0,0
Bangalore,basavangudi,3,2,1,8,1740,7200,186,93,9219,1,1,0,0,0
Bangalore,electronics city phase 1,3,4,3,6,0,28050,0,423,28473,1,1,0,0,0
Mumbai,kalyan east,4,3,0,6,0,9900,2400,177,12477,1,0,0,0,0
Bangalore,banashankari stage v,3,4,3,20,6012,28500,1752,363,36630,0,0,0,0,0
Bangalore,whitefield,2,2,1,10,1872,8100,246,105,10323,1,0,0,0,0
Kolkata,madhyamgram municipality ward 22,3,4,8,6,0,19500,2190,321,22011,1,0,0,0,1
Bangalore,sarjapur  road,3,2,1,7,2400,8400,201,108,11109,1,0,0,0,0
Bangalore,lingadheeranahalli,3,2,2,6,6300,16320,1752,207,24579,1,1,0,0,0
Bangalore,tc palaya,1,1,0,14,1500,11997,0,153,13650,1,0,0,0,0
Chennai,ambattur industrial estate,3,2,0,6,0,6000,0,93,6093,0,0,0,0,0
Mumbai,thane west,2,1,1,4,810,2106,0,33,2949,0,0,0,0,0
Bangalore,narayanapura,4,6,3,6,7200,7500,3852,96,18648,0,0,0,0,0
Bangalore,budigere,2,2,1,8,1800,7200,375,93,9468,0,0,0,0,0
Chennai,kundrathur,2,1,8,6,0,13650,1215,207,15072,1,0,0,0,1
Bangalore,kr puram,1,1,1,2,2370,12600,672,162,15804,1,1,0,0,0
Bangalore,bannerghatta,3,2,2,7,2412,11070,951,141,14574,1,0,0,0,0
Bangalore,kanakpura road,2,1,1,6,2280,5370,210,69,7929,1,0,0,0,0
Bangalore,begur road,4,4,1,19,5400,16500,1950,210,24060,1,0,0,0,0
Delhi,uttam nagar west,1,1,0,10,1494,3600,240,48,5382,0,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,3,1440,7500,180,96,9216,1,1,0,0,0
Kolkata,vip road,3,1,1,3,600,3000,195,42,3837,1,0,0,0,0
Delhi,rohini sector 24,3,1,1,2,2400,4200,126,57,6783,1,0,0,0,0
Bangalore,hebbal,3,4,0,1,6000,30000,5001,381,41370,1,1,0,0,0
Bangalore,thigalarapalya,4,5,2,1,11400,25500,0,324,37230,1,1,0,0,0
Bangalore,chandapura,2,2,2,7,4500,18000,1500,231,24231,1,0,0,0,0
Bangalore,hulimavu,1,1,1,25,1413,6600,165,84,8262,1,0,0,0,0
Bangalore,neeladri nagar,4,4,3,2,15000,19800,5034,252,40080,1,0,0,0,0
Mumbai,ambernath east,2,2,1,6,1350,5700,201,84,7335,1,0,0,0,0
Bangalore,old madras road,3,3,3,16,8400,39000,2877,495,50760,1,0,0,0,0
Bangalore,electronic city,2,1,0,6,0,3300,75,51,3426,0,0,0,0,0
Kolkata,picnic garden,2,2,1,6,3315,3300,357,45,7017,1,0,0,0,0
Bangalore,judicial layout,4,3,3,14,9900,17340,1320,222,28782,1,0,0,0,0
Bangalore,kumaraswami layout,2,1,0,5,4500,6600,201,84,11385,1,0,0,0,0
Delhi,lajpat nagar,3,2,3,2,0,7290,114,96,7500,1,0,0,0,0
Bangalore,ananth nagar,3,2,1,14,3390,10800,180,138,14508,0,0,0,0,0
Chennai,aminjikarai,5,7,8,6,0,42000,2001,633,44640,1,0,0,1,1
Mumbai,bhandup west,2,2,2,6,360,6600,477,99,7536,1,0,0,0,0
Chennai,pammal,1,1,1,6,0,3000,0,48,3048,0,1,0,0,0
Bangalore,arekere,4,3,3,7,7800,30000,4008,381,42180,0,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,7,1233,3240,105,42,4620,0,0,0,0,0
Bangalore,koramangala,2,1,1,8,1635,5160,0,66,6861,1,0,0,0,0
Kolkata,mankundu,2,1,1,3,600,2850,0,39,3489,1,0,0,0,0
Bangalore,dasarahalli,2,3,1,6,1080,17100,612,219,19011,1,1,0,0,0
Bangalore,hormavu,3,2,4,6,11034,4500,3390,60,18984,1,0,0,0,0
Bangalore,amruthahalli,2,3,2,16,3300,7128,1002,114,11544,1,1,0,0,0
Kolkata,rajarhat,3,2,1,6,0,43500,1269,714,45480,1,0,0,0,0
Mumbai,bhandup west,2,3,2,3,1050,7800,300,114,9264,1,1,0,0,0
Bangalore,bannerghatta road,3,2,1,7,4200,9840,375,126,14541,1,1,0,0,0
Delhi,uttam nagar west,1,1,0,6,1440,3000,0,39,4479,1,0,0,0,0
Kolkata,new town aa 3,3,4,4,15,7695,39000,4311,522,51540,1,0,0,0,0
Bangalore,thanisandra,3,3,2,8,7500,36000,2502,459,46470,1,0,0,0,0
Kolkata,tollygunge,2,4,3,12,5691,45000,2481,600,53760,1,0,0,0,0
Kolkata,sreerampur,3,2,3,3,1758,8250,1053,111,11172,1,1,0,0,0
Kolkata,tollygunge,4,3,2,6,0,10200,2139,168,12507,1,0,0,0,0
Kolkata,howrah,2,1,1,3,1698,3300,252,45,5295,1,0,0,0,0
Bangalore,hosur road,2,2,0,21,4656,27000,1125,345,33120,1,1,0,0,0
Delhi,pitampura,1,1,0,5,2250,3000,102,39,5391,1,0,0,0,0
Delhi,sector 19 dwarka,2,2,0,1,2553,5490,276,72,8391,1,0,0,0,0
Bangalore,sarjapur  road,2,1,1,1,1452,3300,60,42,4854,1,0,0,0,0
Bangalore,sarjapur,1,1,0,6,1806,5400,390,69,7665,1,1,0,0,0
Bangalore,thanisandra,3,2,3,6,0,10800,753,165,11718,1,0,0,0,0
Bangalore,7th phase jp nagar,1,1,0,1,0,3300,0,51,3351,0,0,0,0,0
Kolkata,baranagar,4,3,2,5,2289,6900,690,93,9972,1,0,0,0,0
Bangalore,hoodi,3,2,3,13,3300,24000,501,306,28107,1,1,0,0,0
Bangalore,marathahalli,3,3,8,6,0,14025,1200,213,15438,1,0,0,0,1
Delhi,patel nagar,3,2,1,1,3000,10500,60,138,13698,1,0,0,0,0
Chennai,sholinganallur,2,1,1,3,942,3000,0,39,3981,1,0,0,0,0
Bangalore,hennur,1,1,0,1,2304,7800,198,99,10401,1,1,0,0,0
Bangalore,yelahanka,1,1,1,13,4320,5670,510,72,10572,0,1,0,0,0
Chennai,ambattur,3,1,1,4,2490,3600,75,15,6180,1,0,0,0,0
Mumbai,parel,4,3,5,6,0,7500,360,135,7995,1,0,0,0,1
Bangalore,gm palaya,2,3,1,8,3828,9690,147,123,13788,0,1,0,0,0
Mumbai,andheri west,2,2,1,9,1050,5400,225,81,6756,1,0,0,0,0
Bangalore,electronic city phase ii,1,1,0,6,0,1950,114,27,2091,0,0,0,0,0
Bangalore,medahalli,4,5,3,10,9600,25500,3501,324,38940,0,0,0,0,0
Mumbai,andheri east,2,1,0,1,900,4059,231,60,5250,1,0,0,0,0
Bangalore,subramanyapura,2,2,0,12,2241,4500,0,60,6801,1,0,0,0,0
Bangalore,bellandur,3,3,1,14,5040,15000,576,192,20808,1,0,0,0,0
Bangalore,electronics city phase 1,3,3,2,6,0,12600,1026,192,13818,1,0,0,0,0
Bangalore,sanjay nagar,1,1,0,11,1755,6000,0,78,7833,1,0,0,0,0
Bangalore,7th phase jp nagar,2,1,0,2,1050,4500,150,60,5760,0,0,0,0,0
Bangalore,rachenahalli,2,1,1,2,510,3300,0,42,3852,1,0,0,0,0
Kolkata,mohan pur,5,6,3,6,0,42000,3891,690,46590,1,0,0,0,0
Delhi,sheikh sarai,1,1,0,14,1620,2640,303,36,4599,0,0,0,0,0
Mumbai,dombivali,2,2,1,6,600,3900,750,57,5307,1,0,0,0,0
Bangalore,kanakapura,3,5,4,22,6990,10905,4932,141,22968,1,0,0,0,0
Chennai,besant nagar,2,1,1,7,1455,2940,180,39,4614,0,0,0,0,0
Mumbai,goregaon east,1,1,1,11,1116,8100,0,120,9336,1,0,0,0,0
Bangalore,thigalarapalya,4,4,3,5,8400,15000,2751,192,26343,1,1,0,0,0
Bangalore,kanakpura road,2,2,1,22,1650,12000,0,153,13803,0,1,0,0,0
Bangalore,varthur,2,2,2,6,3000,9690,690,123,13503,0,0,0,0,0
Bangalore,sarjapur,1,1,0,5,1806,5400,390,69,7665,1,1,0,0,0
Bangalore,thanisandra,3,2,3,14,9000,24000,2001,306,35310,1,1,0,0,0
Bangalore,varthur,1,2,1,2,6183,33000,786,420,40380,1,1,0,0,0
Kolkata,salt lake sec iii,3,4,3,6,0,18000,1014,297,19311,1,0,0,0,0
Bangalore,yelachenahalli,4,5,0,1,8100,26400,0,336,34830,1,0,0,0,0
Delhi,greater kailash ii,3,2,1,4,3750,5400,918,72,10140,1,0,0,0,0
Bangalore,electronic city phase ii,1,1,0,4,1245,4755,90,63,6153,1,0,0,0,0
Bangalore,horamavu banaswadi,4,4,3,6,11400,10200,3252,132,24984,1,0,0,0,0
Bangalore,brookefield,3,1,1,4,3600,7500,801,96,11997,1,0,0,0,0
Bangalore,talaghattapura,3,2,1,21,2850,22500,231,288,25869,1,1,0,0,0
Chennai,thiruninravur,3,1,1,6,738,3300,213,42,4293,1,0,0,0,0
Bangalore,choodasandra,3,2,3,6,0,15600,693,237,16530,1,0,0,0,0
Mumbai,parel,5,4,4,6,0,14280,1752,255,16287,1,0,0,0,0
Bangalore,yelahanka,1,1,0,3,921,4050,0,54,5025,1,0,0,0,0
Delhi,greater kailash 1,2,1,1,11,1260,4800,39,63,6162,1,0,0,0,0
Bangalore,kaval byrasandra,3,4,2,14,4200,39300,1227,498,45240,1,0,0,0,0
Bangalore,kanakapura,4,4,2,4,10020,33150,0,423,43590,1,0,0,0,0
Chennai,kolathur,3,2,2,1,2100,6600,315,84,9099,1,1,0,0,0
Mumbai,bhayandar east,2,1,1,3,810,3240,75,48,4173,1,0,0,0,0
Kolkata,baranagar,3,3,2,4,450,7200,789,96,8535,1,0,0,0,0
Bangalore,rajaji nagar,3,2,3,6,0,22350,501,336,23187,1,1,0,0,0
Bangalore,whitefield,2,1,1,5,1950,3780,300,48,6078,1,0,0,0,0
Mumbai,bhandup west,4,3,1,8,1800,6600,477,99,8976,1,0,0,0,0
Bangalore,chennammana kere,3,5,2,5,5850,25500,2697,324,34380,1,1,0,0,0
Kolkata,rajpur,3,2,1,3,1500,3600,405,48,5553,0,0,0,0,0
Bangalore,raja rajeshwari nagar,1,1,0,18,750,5550,0,72,6372,1,0,0,0,0
Delhi,lajpat nagar,3,2,0,5,5400,7500,600,99,13599,1,0,0,0,0
Delhi,om vihar,4,3,1,10,6000,12000,3000,156,21156,0,0,0,0,0
Bangalore,hormavu,4,3,2,15,9000,30000,2310,381,41700,0,1,0,0,0
Mumbai,karjat,4,4,4,6,0,8460,963,153,9576,0,0,0,0,0
Mumbai,vasai,1,1,1,3,990,2790,375,42,4197,1,0,0,0,0
Chennai,avadi,1,1,0,4,1200,2400,240,33,3873,0,0,0,0,0
Bangalore,tc palaya,1,1,1,5,1839,11100,327,141,13407,1,1,0,0,0
Bangalore,yelenahalli,4,5,4,1,10800,18000,3750,231,32790,0,0,0,0,0
Mumbai,dronagiri,3,3,4,2,8700,3600,780,54,13134,1,0,0,0,0
Bangalore,malleshpalya,4,5,4,5,8400,21300,3243,270,33210,1,0,0,0,0
Bangalore,tc palaya,1,1,1,26,4500,6000,750,78,11328,0,1,0,0,0
Mumbai,bhiwandi,3,4,4,6,0,10500,501,189,11190,0,0,0,0,0
Kolkata,mankundu,2,2,0,1,0,3900,0,54,3954,1,0,0,0,0
Delhi,gautam nagar,1,2,1,10,2283,7200,399,93,9975,1,0,0,0,0
Delhi,shivalik,1,1,0,3,1515,7050,201,93,8859,1,0,0,0,0
Bangalore,akshaya nagar,3,6,8,6,0,27000,732,408,28140,1,1,0,0,1
Chennai,siruseri,1,1,0,5,1140,1500,30,21,2691,0,1,0,0,0
Bangalore,brookefield,3,2,2,10,1095,7500,111,96,8802,1,0,0,0,0
Bangalore,choodasandra,2,3,2,9,6246,6540,1818,84,14688,1,1,0,0,0
Bangalore,kudlu,2,1,1,16,882,3150,108,42,4182,1,0,0,0,0
Bangalore,green glen layout,2,2,1,6,0,7200,540,111,7851,1,0,0,0,0
